id,screen_name,friends_count,followers_count,self_description
886816021776023552,ttttttttt___HJW,249,34,とびっこ／ジャス民／セクガール／掛け持ち野郎／予備垢／Ryon's／JWF48／妄想orレポ／無言フォロー失礼しますm(*_ _)m
990171447451529217,9ecGlpX8TFM9q11,15,5,
903056567401979904,th3gYsmr4B07wCy,182,33,"#防弾少年団#BTS#バンタン     テテよりのオルペンです！
armyフォロバ100％です！"
1407564414,banechan_1048,383,733,今できることを
2273031631,nobhkhk,304,252,玉井詩織/最上もが/Hayato/白鳥白鳥/ 香港ツアー/もがらー⑤:初代もがカルトクイズ王/もが単全通打ち上げご飯会 →2017.5.1〜二丁魁 白鳥白鳥𓅮シラトリウム(@haku_sakigake)(@sakigake_gay)
823845016648855553,himariWEGO,54,14,
736933003776032769,pop_s0914,478,651,🦋chou high school (17age)総ビ🖤 #山﨑賢人¦恵那(@nakano_ena)夏恵(@Nachos_kimono)
822772291226345472,JumpAino,1295,695,ありおかだいき/みちえだしゅんすけ/ほりえりく/さんこいち
743798830445953024,hshh_318,45,10,少々 性格 難 有り
990125223058927617,yurimiu3527,35,1,えむれなを愛して2年半。音フェチ＆血管フェチの中2 #PKA#1D&ゆーぽん
742978459992002560,Mako_chante,998,1168,🇺🇸×🇯🇵(16)/👉右/元鴨居中バレー部#1/横須賀大津2年/108HR【白軍】→202HR【赤軍】/バレー部/#心力 ▷▷ @katsudon_201710 /#オカマーズトーク /洋楽♡/成田凌/YouTube/star wars/ウェイターズ🐢/真珠麿/follow meeeee🙋
919454688138768384,MWIsWzTYaXRYPIg,388,170,"常盤中2年生✌︎





YouTubeすき👍

マホト💜

結構何でも見ふ👀💕




🌵👓💩🌹あるよに面白かった😂
それぞれのやりたいことを応援する😆
大好き😍






#マホト
#YouTube好き
#アルティメットよにん
#UFer
#フォロバ絶対"
780215303808557056,fmg7238,33,4,youtuber好き ゲーム実況好き 絵描き
989860805578379264,GoodMor06522702,916,43,
934822231061889024,Chery__cess__,22,10,気象さん の 赤｜王子様 の 紫 と ターコイズブルー
972476086989635585,wJrYJ8zBpiemsJ5,40,1,あんスタ/ラブライブ！/ラブライバー
987263975686488064,nDKWtjSpLnyXaBJ,74,2,
990045840482840576,AehVwGkh04HiODT,19,1,NEWS/Hey!Say !JUMP/YouTube好き
930075207762509824,Risunaa_,163,40,（@Fujieda_）の、新しい垢 ✌🏻️✨
739078847346266113,Reina32015654,217,112,バド部🏸 : #みやかわくん #スカイピース  #みやなー
979366945454608384,kotono_0916,37,10,1年4組 I 中学生🌷 I 阪神タイガース🐯 I 🐰スカイピース🐴 I ルーズリーフ🍀
850410177278885888,momonomomoshiri,51,16,
981528929004433408,fate24179297,20,12,GENERATIONS❤️高杉真宙❤️弓道部🎯ＳＨ１F
989064248314691586,amikanaaaaa,131,41,"twitter入れ直しました。
トプ右
LINELIVE→あみ
高2/西野カナ/西野家/賢人くん/HoneyWorks
西野カナファン歴3年目💕"
971697247665586176,HyXuNrfiljSSY5T,100,32,BTSとJUMPと深田恭子さんでできています💕 | バンバン絡みに来てください！ 喜びます | BTS大好き💕 | ARMYさんと繋がりたい💕 |テテジンよりのallペン💕 | armyさん達にフォロー返します！ 気づかない時教えて下さいw | ﾃﾃ，ｼﾞﾝ，ﾏﾝﾈ，ｼﾞﾐﾝ、ﾅﾑｼﾞｭﾝ，ﾎﾋﾞ，ﾕﾝｷﾞ|
801065822550491138,clippie_s,20,16,
835497943188680704,love23637,373,336,14
989996622820950017,mameofmame,84,2,
716285039965679616,WROm2C3r1IBl5Lk,443,354,小江原小→小江原中→鶴洋高校 ラグビー部
1240665619,guardjpyk,477,479,I'm looking for the freedom and happiness floating in the sea. Click→→ https://t.co/V5VH23mX05…. .........【Favorite artist】MY FIRST STORY
849627032753287169,hamutan0601,56,5,
988049217858949120,ayaka59195811,36,3,✿20yearold❀/K‐pop/洋楽/ｷｽﾏｲ/ｴﾙｵｰｴﾙ/ﾌﾟｰｻﾝ🐝/アカウント変わりました。
760161079573876736,_____ki09,175,113,
732652613502570496,Yogi16518,64,7,S♡NE
3165231156,hello35925106,238,189,JK2
989874737747640320,_eeens,102,1,
848200725876178944,BuriTerioisi,82,40,こーでぃーくん💓/351/レイターズ/さとるん💓/よきき/こま/磯田怜💓/レイキュア
940484345713717248,p__nkx,70,58,仙台こども専門学校 ¦ KM1E
989145733914742786,fzMbZtgqvj8G4QH,91,17,
965878170187546624,black_cat46222,176,105,02-03line/趣味垢/ジャニーズ/欅坂46/謎解き/神奈川住み
989606753670057985,tsuki___32,113,76,商業13HR/吹部flute/ 歌歌えるようになるのあきらめる🎤/🆕
981778394235858945,mikannok3,23,2,お洋服
817371433735049216,0507nananana,96,95,✐ : 1999.05.07 - 18teen ♡ : make - disney - fashion
989865888143716352,kokoko_sasuke,33,1,
986854546457509888,QWai2kmO0gN7E2d,14,1,よろしく！
989522270627360768,kazukisudakoube,13,0,
951838903274622981,newsu12616022,118,118,Adachi ② 無言フォローすみません🙇‍♂️ 🦋じゅじゅななファン👅『レアナー🐼』 あきへら🔪 🍑ぽたちょあ🍑
967882844323237888,inoaroa,124,5,YouTubeすき
954724089351950336,1213_Yuyu,494,414,小鳥遊六花ちゃんと速水凛香ちゃんと合田美桜ちゃんと中野梓ちゃんと耳郎響香ちゃんなどが好きです！ヘッダーは、@ramepurin3710さんに作ってもらいました！
835081394141315072,nageko37,44,8,みんな違ってみんないい/性別迷子/パラスティカさん/木下ゆうかさん/ぽんりささん/くまみきさん
170306840,kanashi3,96,95,（´-`）.｡oO（彷徨って途方に暮れたって また 明日には 新しい方角へ
921686229455839232,yrn1105,215,1,
969209340933545984,kurasanchim,21,3,
2825872598,xoxo_ons0218,178,202,"age21...kurihara→kojo→Nurse student Dance,SnowBord,Camera,adidas,nike,,LDH,disney https://t.co/xwHJK84RIF"
989839891990130688,___0black0___,46,2,
839124679960883200,394sakura394,304,316,でんの➋👩‍🌾怖がり、テキトーなイメージ。優柔不断をやっつけたい
796244700462096384,zon4211,51,42,昭和→城東→東工業
792368269126692864,elephant_over,50,8,The memory of being here  with you is ONE I'm gonna take my life through
988299351045816320,o4W0k1sL5Gm2z8T,7,3,
879931159915802624,y_____O1O4,183,150,喜連46th 2-4 🌸 Hey!Say!JUMP / 欅坂 / 乃木坂 / おこぷれ / ピンクラ / ヘンジンマジメ / TEENAGERS OSAKA ☺︎❤︎
817355869335629824,pettdm,114,85,富士見中▷熊西1-1 バスケ部
859018922724515841,moe_nicol0220,324,153,老司 ￤  基本フォロバする✌🏻️
987622056148652032,kJGDQKBc7n5ywiM,15,6,よろしくお願いします
